Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Total,14.80,76.30,3370,Ukraine,Asia
Male,14.40,77.10,0,Ukraine,Asia
Female,15.10,69.40,0,Ukraine,Asia
Total,12.20,80.40,43470,United Arab Emirates,Europe
Male,,78.90,0,United Arab Emirates,Europe
Female,,70.70,0,United Arab Emirates,Europe
Total,16.40,78.70,42370,United Kingdom,Europe
Male,16.00,67.20,0,United Kingdom,Europe
Female,16.80,63.90,0,United Kingdom,Europe
Total,16.20,76.80,65760,United States,North America
Male,15.70,57.80,0,United States,North America
Female,17.50,53.50,0,United States,North America
Total,14.70,69.70,16230,Uruguay,South America
Male,13.80,52.20,0,Uruguay,South America
Female,15.60,48.90,0,Uruguay,South America
Total,11.40,69.10,1800,Uzbekistan,Asia
Male,11.60,,0,Uzbekistan,Asia
Female,11.30,,0,Uzbekistan,Asia
Total,10.80,73.10,3170,Vanuatu,Oceania
Male,11.10,,0,Vanuatu,Oceania
Female,10.40,,0,Vanuatu,Oceania
Total,13.60,74.80,0,Venezuela,South America
Male,12.60,,0,Venezuela,South America
Female,14.70,,0,Venezuela,South America
Total,12.00,65.50,2540,Vietnam,Asia
Male,12.10,,0,Vietnam,Asia
Female,12.10,,0,Vietnam,Asia
Total,8.60,55.70,940,Yemen,Asia
Male,9.90,,0,Yemen,Asia
Female,7.20,,0,Yemen,Asia
Total,11.00,50.60,1450,Zambia,Africa
Male,11.50,,0,Zambia,Africa
Female,10.60,,0,Zambia,Africa
Total,10.10,50.60,1390,Zimbabwe,Africa
Male,10.30,,0,Zimbabwe,Africa
Female,10.00,,0,Zimbabwe,Africa
