Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Male,12.60,,0,Saint Kitts and Nevis,North America
Female,13.30,,0,Saint Kitts and Nevis,North America
Total,13.10,74.90,11020,Saint Lucia,North America
Male,12.80,73.50,14075,Saint Lucia,North America
Female,13.50,76.30,14075,Saint Lucia,North America
Total,13.50,71.80,7460,Saint Vincent and the Grenadines,North America
Male,13.30,69.50,12598,Saint Vincent and the Grenadines,North America
Female,13.70,74.30,12598,Saint Vincent and the Grenadines,North America
Total,12.90,71.70,4180,San Marino,Oceania
Male,11.90,69.50,6672,San Marino,Oceania
Female,12.70,74.00,6672,San Marino,Oceania
Total,10.60,67.40,1960,Sao Tome and Principe,Africa
Male,10.60,65.20,3502,Sao Tome and Principe,Africa
Female,10.50,69.70,3502,Sao Tome and Principe,Africa
Total,14.30,73.90,22850,Saudi Arabia,Asia
Male,14.60,72.60,70525,Saudi Arabia,Asia
Female,13.90,75.50,70525,Saudi Arabia,Asia
Total,8.00,64.30,1450,Senegal,Africa
Male,8.10,62.60,3856,Senegal,Africa
Female,7.80,65.80,3856,Senegal,Africa
Total,13.50,74.10,7020,Serbia,Europe
Male,13.20,71.40,15225,Serbia,Europe
Female,13.90,76.80,15225,Serbia,Europe
Total,13.40,72.90,16870,Seychelles,Africa
Male,12.80,69.30,0,Seychelles,Africa
Female,13.90,76.80,0,Seychelles,Africa
Total,8.90,49.40,500,Sierra Leone,Africa
Male,9.60,48.50,1356,Sierra Leone,Africa
Female,8.40,50.20,1356,Sierra Leone,Africa
Total,15.20,81.80,59590,Singapore,Asia
Male,15.10,79.50,88632,Singapore,Asia
Female,15.30,84.20,88632,Singapore,Asia
Total,15.00,75.50,19320,Slovakia,Europe
Male,14.40,71.70,31086,Slovakia,Europe
Female,15.60,79.20,31086,Slovakia,Europe
Total,17.10,79.40,25750,Slovenia,Europe
Male,16.30,76.10,31739,Slovenia,Europe
Female,17.90,82.60,31739,Slovenia,Europe
Total,10.70,70.70,2050,Somalia,Oceania
Male,11.10,69.10,1654,Somalia,Oceania
Female,10.20,72.50,1654,Somalia,Oceania
Total,12.80,57.70,6040,South Africa,Africa
Male,12.30,54.90,14705,South Africa,Africa
Female,13.40,60.60,14705,South Africa,Africa
Total,4.90,54.80,0,South Sudan,Africa
Male,6.10,53.60,2754,South Sudan,Africa
Female,3.70,56.00,2754,South Sudan,Africa
Total,16.80,81.90,30390,Spain,Europe
Male,16.40,78.90,40081,Spain,Europe
Female,17.30,84.90,40081,Spain,Europe
Total,13.60,75.40,4020,Sri Lanka,Asia
Male,13.40,72.00,12339,Sri Lanka,Asia
Female,13.80,78.90,12339,Sri Lanka,Asia
Total,7.30,62.80,590,Sudan,Africa
Male,7.60,61.00,4974,Sudan,Africa
Female,6.90,64.50,4974,Sudan,Africa
Total,12.20,70.50,5540,Suriname,South America
Male,11.70,67.30,18387,Suriname,South America
Female,12.70,73.80,18387,Suriname,South America
Total,15.90,81.50,55840,Sweden,Europe
Male,15.20,79.60,51777,Sweden,Europe
Female,16.70,83.40,51777,Sweden,Europe
Total,15.60,82.30,85500,Switzerland,Europe
Male,15.70,79.90,72847,Switzerland,Europe
Female,15.50,84.40,72847,Switzerland,Europe
Total,11.80,72.10,0,Syria,Asia
Male,12.00,68.10,10535,Syria,Asia
Female,11.60,76.80,10535,Syria,Asia
Total,11.10,68.70,1030,Tajikistan,Asia
Male,11.90,66.50,4497,Tajikistan,Asia
Female,10.20,71.20,4497,Tajikistan,Asia
Total,8.80,58.60,1080,Tanzania,Africa
Male,9.10,56.80,2447,Tanzania,Africa
Female,8.60,60.40,2447,Tanzania,Africa
Total,13.30,74.20,7260,Thailand,Asia
Male,12.80,70.70,15028,Thailand,Asia
Female,13.70,77.70,15028,Thailand,Asia
